id,courseNo,name,type,credit,teacherId,teacherName,majorId,majorName,grade,semester,status,remark,createdAt,updatedAt
1,C001,Java程序设计,required,4,8,任景行,4,数据科学与大数据技术,2024,2024-2025第二学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
2,C002,数据库原理,required,4,2,魏静怡,4,数据科学与大数据技术,2023,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
3,C003,Web前端开发,required,3,7,云承泽,3,人工智能,2021,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
4,C004,数据结构,required,4,4,姜婉婷,5,电子商务,2022,2023-2024第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
5,C005,操作系统,required,4,5,奚宇航,1,软件工程,2024,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
6,C006,软件工程导论,required,3,5,奚宇航,4,数据科学与大数据技术,2022,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
7,C007,Python程序设计,elective,3,2,魏静怡,2,计算机科学与技术,2021,2023-2024第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
8,C008,人工智能基础,elective,3,1,彭佳怡,3,人工智能,2023,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
9,C009,大学英语,public,2,7,云承泽,1,软件工程,2022,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
10,C010,体育,public,1,7,云承泽,3,人工智能,2022,2023-2024第二学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
11,C011,计算机网络,required,4,8,任景行,5,电子商务,2022,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
12,C012,离散数学,required,3,8,任景行,2,计算机科学与技术,2024,2024-2025第二学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
13,C013,Linux操作系统,elective,2,2,魏静怡,1,软件工程,2024,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
14,C014,移动应用开发,elective,3,2,魏静怡,5,电子商务,2023,2023-2024第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
15,C015,软件测试技术,required,3,6,李志远,2,计算机科学与技术,2022,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
16,C016,信息安全基础,elective,2,3,花睿哲,5,电子商务,2022,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
17,C017,高等数学,public,4,2,魏静怡,1,软件工程,2024,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
18,C018,线性代数,public,3,3,花睿哲,1,软件工程,2023,2023-2024第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
19,C019,大学物理,public,3,3,花睿哲,2,计算机科学与技术,2023,2024-2025第一学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
20,C020,创新创业基础,public,2,5,奚宇航,5,电子商务,2023,2024-2025第二学期,enabled,,2026-04-26T18:01:54,2026-04-26T18:01:54
